600486,扬农化工,江苏扬农化工股份有限公司
600487,亨通光电,江苏亨通光电股份有限公司
600488,天药股份,天津天药药业股份有限公司
600489,中金黄金,中金黄金股份有限公司
600490,鹏欣资源,上海中科合臣股份有限公司
600491,龙元建设,龙元建设集团股份有限公司
600493,凤竹纺织,福建凤竹纺织科技股份有限公司
600495,晋西车轴,晋西车轴股份有限公司
600496,精工钢构,长江精工钢结构（集团）股份有限公司
600497,驰宏锌锗,云南驰宏锌锗股份有限公司
600498,烽火通信,烽火通信科技股份有限公司
600499,科达机电,广东科达机电股份有限公司
600500,中化国际,中化国际（控股）股份有限公司
600501,航天晨光,航天晨光股份有限公司
600502,安徽水利,安徽水利开发股份有限公司
600503,华丽家族,华丽家族股份有限公司
600505,西昌电力,四川西昌电力股份有限公司
600506,香梨股份,新疆库尔勒香梨股份有限公司
600507,方大特钢,方大特钢科技股份有限公司
600508,上海能源,上海大屯能源股份有限公司
600509,天富热电,新疆天富热电股份有限公司
600510,黑牡丹,黑牡丹（集团）股份有限公司
600511,国药股份,国药集团药业股份有限公司
600512,腾达建设,腾达建设集团股份有限公司
600513,联环药业,江苏联环药业股份有限公司
600515,海岛建设,海南海岛建设股份有限公司
600516,方大炭素,方大炭素新材料科技股份有限公司
600517,置信电气,上海置信电气股份有限公司
600518,康美药业,康美药业股份有限公司
600519,贵州茅台,贵州茅台酒股份有限公司
600520,中发科技,铜陵中发三佳科技股份有限公司
600521,华海药业,浙江华海药业股份有限公司
600522,中天科技,江苏中天科技股份有限公司
600523,贵航股份,贵州贵航汽车零部件股份有限公司
600525,长园集团,长园集团股份有限公司
600526,菲达环保,浙江菲达环保科技股份有限公司
600527,江南高纤,江苏江南高纤股份有限公司
600528,中铁二局,中铁二局股份有限公司
600529,山东药玻,山东省药用玻璃股份有限公司
600530,交大昂立,上海交大昂立股份有限公司
600531,豫光金铅,河南豫光金铅股份有限公司
600532,宏达矿业,山东宏达矿业股份有限公司
600533,栖霞建设,南京栖霞建设股份有限公司
600535,天士力,天士力制药集团股份有限公司
